Year,Units,Region,Fahrzeugart,Value
2014.0,Kfz je 1.000 Einwohner,Land BW,,700.0
2015.0,Kfz je 1.000 Einwohner,Land BW,,702.0
2016.0,Kfz je 1.000 Einwohner,Land BW,,705.0
2017.0,Kfz je 1.000 Einwohner,Land BW,,715.0
2018.0,Kfz je 1.000 Einwohner,Land BW,,723.0
2019.0,Kfz je 1.000 Einwohner,Land BW,,733.0
2020.0,Kfz je 1.000 Einwohner,Land BW,,744.0
2021.0,Kfz je 1.000 Einwohner,Land BW,,753.0
2008.0,Kfz je 1.000 Einwohner,Enzkreis,,683.0
2009.0,Kfz je 1.000 Einwohner,Enzkreis,,689.0
2010.0,Kfz je 1.000 Einwohner,Enzkreis,,699.0
2011.0,Kfz je 1.000 Einwohner,Enzkreis,,719.0
2012.0,Kfz je 1.000 Einwohner,Enzkreis,,731.0
2013.0,Kfz je 1.000 Einwohner,Enzkreis,,738.0
2014.0,Kfz je 1.000 Einwohner,Enzkreis,,745.0
2015.0,Kfz je 1.000 Einwohner,Enzkreis,,749.0
2016.0,Kfz je 1.000 Einwohner,Enzkreis,,759.0
2017.0,Kfz je 1.000 Einwohner,Enzkreis,,771.0
2018.0,Kfz je 1.000 Einwohner,Enzkreis,,784.0
2019.0,Kfz je 1.000 Einwohner,Enzkreis,,796.0
2020.0,Kfz je 1.000 Einwohner,Enzkreis,,807.0
2021.0,Kfz je 1.000 Einwohner,Enzkreis,,819.0
,,,,
