Year,Units,Region,Abfallart,Value
2013.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,147.4
2014.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,142.0
2015.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,146.7
2016.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,148.1
2017.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,141.0
2018.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,148.9
2019.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,139.1
2020.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,165.8
2021.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,157.2
2010.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,201.6
2011.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,203.6
2012.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,200.1
2013.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,203.8
2014.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,199.0
2015.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,198.7
2016.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,201.7
2017.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,197.2
2018.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,193.2
2019.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,180.0
2020.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,213.6
2021.0,Aufkommen je Abfallstrom [kg/EW],,Wertstoffe,181.9
2010.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle,232.0
2011.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,217.7
2012.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,234.9
2013.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,217.8
2014.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,229.2
2015.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,208.6
2016.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,247.2
2017.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,214.2
2018.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,225.5
2019.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,193.3
2020.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,206.9
2021.0,Aufkommen je Abfallstrom [kg/EW],,Abfälle aus der Biotonne und Grünabfälle ,237.5
2010.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",6.1
2011.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",8.5
2012.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",9.4
2013.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",5.7
2014.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",4.5
2015.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",4.3
2016.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",3.9
2017.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",4.0
2018.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",3.6
2019.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",3.9
2020.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",3.1
2021.0,Aufkommen je Abfallstrom [kg/EW],,"Gewerbe-, Baustellenabfälle",3.7
2010.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.5
2011.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.8
2012.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.6
2013.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.5
2014.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.9
2015.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,6.4
2016.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,7.3
2017.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,8.9
2018.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,6.1
2019.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,6.2
2020.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,6.6
2021.0,Aufkommen je Abfallstrom [kg/EW],,Elektro-/Elektronikaltgeräte,5.8
2010.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle,12.7
2011.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,15.0
2012.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,11.1
2013.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,12.6
2014.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,16.2
2015.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,31.5
2016.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,44.3
2017.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,77.6
2018.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,87.7
2019.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,93.9
2020.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,27.0
2021.0,Aufkommen je Abfallstrom [kg/EW],,Sonstige Abfälle ,20.4
,,,,
